date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:54:16	71/71	---M--	200	added ('OK')	text/plain	date:Tue,%2016%20Jul%202024%2013:54:19%20GMT	https://notebbs.dynv6.net/robots.txt		(from )
21:54:17	165326/-1	---M--	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2013:54:19%20GMT	https://notebbs.dynv6.net/	D:/myWebs/notebbs20240716-lite/notebbs.dynv6.net/index.html	(from )
21:54:20	98097/-1	---M--	200	added ('OK')	text/html	date:Tue,%2016%20Jul%202024%2013:54:22%20GMT	https://notebbs.dynv6.net/?page=2	D:/myWebs/notebbs20240716-lite/notebbs.dynv6.net/index4658.html	(from https://notebbs.dynv6.net/)
21:54:21	153479/153479	---MCZ	200	added ('OK')	text/javascript	etag:%22d2qwgb9zme9r3afb-gzip%22	https://notebbs.dynv6.net/assets/forum-zh-Hans.js?v=7220296f	D:/myWebs/notebbs20240716-lite/notebbs.dynv6.net/assets/forum-zh-Hans99c6.js	(from https://notebbs.dynv6.net/)
21:54:22	2524757/2524757	---MCZ	200	added ('OK')	text/javascript	etag:%22d2qwgayjmbvk1i445-gzip%22	https://notebbs.dynv6.net/assets/forum.js?v=7e6f367c	D:/myWebs/notebbs20240716-lite/notebbs.dynv6.net/assets/forum15d9.js	(from https://notebbs.dynv6.net/)
21:54:23	11995/11995	---MCZ	200	added ('OK')	text/javascript	date:Tue,%2016%20Jul%202024%2013:54:25%20GMT	https://kit.fontawesome.com/940400877f.js	D:/myWebs/notebbs20240716-lite/kit.fontawesome.com/940400877f.js	(from https://notebbs.dynv6.net/)
21:54:25	379054/379054	---MCZ	200	added ('OK')	text/css	etag:%22d2qwgbhsn2dl84ha-gzip%22	https://notebbs.dynv6.net/assets/forum.css?v=88d0dd1b	D:/myWebs/notebbs20240716-lite/notebbs.dynv6.net/assets/forume933.css	(from https://notebbs.dynv6.net/)
21:54:25	379636/379636	---MCZ	200	added ('OK')	text/css	etag:%22d2qwgbq9h2we84xg-gzip%22	https://notebbs.dynv6.net/assets/forum-dark.css?v=6dcc7bed	D:/myWebs/notebbs20240716-lite/notebbs.dynv6.net/assets/forum-dark00ce.css	(from https://notebbs.dynv6.net/)
21:54:26	4158/4158	---MCZ	-1	error ('Error%20when%20decompressing')	application/atom+xml	date:Tue,%2016%20Jul%202024%2013:18:28%20GMT	https://notebbs.dynv6.net/atom	D:/myWebs/notebbs20240716-lite/notebbs.dynv6.net/atom	(from https://notebbs.dynv6.net/)
21:54:28	36656/36656	---MCZ	200	added ('OK')	application/atom+xml	date:Tue,%2005%20Jun%202029%2003:22:00%20GMT	https://notebbs.dynv6.net/atom/discussions	D:/myWebs/notebbs20240716-lite/notebbs.dynv6.net/atom/discussions	(from https://notebbs.dynv6.net/)
